version,run,valid,commit,change_type,unique_variable,window_minutes,candidates,pure_fbs,reliable_cost,profit_pass,submitted,in_window_confirmed,carry_in_confirmed,own_in_window_confirmed,late_confirmed,attributable_finals,strict_per_hour,production_per_hour,pure_fbs_rate,reliable_1688_rate,final_conversion,captcha,soft_block,browser_crash,runtime_error,production_files_changed
v172,20260725_023000_ozon10m_v172,true,8a5766ae56319536faca9aef4dd8eaef384e94fc,代码+配置,refresh-uniquely-verified-warehouse-mapping-for-stores-106640-and-106644,10,6,4,3,1,1,10,10,0,1,1,60,6,0.6666666666666666,0.75,1,0,0,0,0,flow_b_codex_transfer_20260608/scripts/flow_b_acceptance_preflight.mjs;flow_b_codex_transfer_20260608/scripts/flow_b_playwright.mjs
v173,20260725_024500_ozon30m_v173,true,93ca7a493061203c5d6346c47fa6b3e7b7713ecc,配置,,30,0,0,0,0,0,7,7,0,0,0,14,0,,,,0,0,0,0,
v174,20260725_032100_ozon10m_v174,true,c656af55d4bee2cbad9340617702861edb9ad12e,配置,replace-depleted-source-set-with-unscanned-strict-final-sellers,10,9,6,2,2,2,2,0,2,0,2,12,12,0.6666666666666666,0.3333333333333333,1,0,0,0,0,
v175,20260725_033200_ozon10m_v175,true,f913f0db7b664c609ab3c2e915da019a05743e17,配置,source-set-to-high-reliable-underwear-frontier,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,
v176,20260725_034400_ozon10m_v176,true,c7d7914bbc1096fff195dc9294f6fe5496f1cf3a,配置,source-set-to-v156-strict-winner-title-searches,10,3,3,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,
v177,20260725_035600_ozon10m_v177,true,e2dcfd761ecfe1657db1ec56a3749c894d07dc5f,配置,source-set-to-unscanned-reliable-cost-sellers,10,8,2,2,2,2,0,0,0,1,1,0,6,0.25,1,0.5,0,0,0,0,
v178,20260725_041100_ozon10m_v178,true,6bcd9e07a23fb83480fda248c0e3aac2705d485e,代码+配置,portfolio-interleave-inherits-exhausted-scan-family-demotion,10,6,4,3,1,1,1,1,0,1,1,6,6,0.6666666666666666,0.75,1,0,0,0,0,flow_b_codex_transfer_20260608/scripts/flow_b_playwright/source-scanner.mjs
v179,20260725_042600_ozon10m_v179,true,c3aa1ebc404999ddec20871e0ac5ead7b37cbd96,代码+配置,bounded-deep-protection-yields-after-two-bounded-dry-pages,10,0,0,0,0,0,1,1,0,0,0,6,0,,,,0,0,0,0,flow_b_codex_transfer_20260608/scripts/flow_b_playwright/source-scanner.mjs
v180,20260725_044100_ozon10m_v180,true,99f4535d3fca2516a6e06b2574843b12b668e608,代码+配置,all-source-families-yield-after-two-consecutive-dry-pages,10,3,2,2,2,2,2,0,2,0,2,12,12,0.6666666666666666,1,1,0,0,0,0,flow_b_codex_transfer_20260608/scripts/flow_b_playwright/source-scanner.mjs
v181,20260725_045400_ozon10m_v181,true,e92af8bb1ba9ef4ba64b04647e2ecc0112243441,配置,source-set-to-all-remaining-unscanned-pure-fbs-sellers,10,12,11,4,4,4,3,0,3,0,3,18,18,0.9166666666666666,0.6666666666666666,0.75,0,0,0,0,
